STT, Tên game, Điểm tổng, Điểm từ khóa, Thể loại: Action, Thể loại: Adventure, Thể loại: Board, Thể loại: Casual, Thể loại: Fantasy, Thể loại: Fighting, Thể loại: Horror, Thể loại: Party, Thể loại: Platformer, Thể loại: Puzzle, Thể loại: RPG, Thể loại: Shooter, Thể loại: Simulation, Thể loại: Sports, Thể loại: Strategy, Nhà sản xuất: Arcade Studio, Nhà sản xuất: Board Games, Nhà sản xuất: Brainy Studio, Nhà sản xuất: Family Games, Nhà sản xuất: Galaxy Studio, Nhà sản xuất: Hero Studio, Nhà sản xuất: Horror Studio, Nhà sản xuất: Magic Games, Nhà sản xuất: Speed Studio, Nhà sản xuất: Sport Games, Nhà sản xuất: War Games, Chế độ: Offline, Chế độ: Online, Năm phát hành, Giá, Multiplayer, Dung lượng, CPU, GPU, RAM, Storage
1, Candy Crush Saga, 0.838, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, Mystery Mansion, 0.69, 0.612, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.6, 0.237, 0.0, 0.111, 0.5, 0.429, 0.333, 0.111
3, Chess Pro, 0.627, 0.765, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.2, 0.013, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
4, Cooking Party, 0.596, 0.739, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.8, 0.145, 1.0, 0.019, 0.5, 0.143, 0.333, 0.019
5, Zombie Survival, 0.582, 0.597, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3, 0.211, 0.0, 0.13, 0.5, 0.429, 0.333, 0.13
6, Cooking Star, 0.505, 0.383, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.039, 0.0, 0.019, 0.0, 0.0, 0.0, 0.019
7, Football Manager, 0.435, 0.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.5, 0.276, 1.0, 0.074, 0.5, 0.286, 0.333, 0.074
8, Farm Life, 0.427, 0.49, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.7, 0.118, 0.0, 0.037, 0.5, 0.143, 0.333, 0.037
9, Alien Invasion, 0.425, 0.498, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
10, World War II, 0.398, 0.479, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.4, 0.737, 1.0, 0.63, 1.0, 0.714, 1.0, 0.63
11, Space Explorer, 0.338, 0.39, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.934, 1.0, 0.907, 1.0, 1.0, 1.0, 0.907
12, Action Hero 2020, 0.316, 0.301, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.539, 0.0, 0.259, 0.5, 0.429, 0.333, 0.352
13, Battle Royale, 0.256, 0.287, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.9, 0.803, 1.0, 0.722, 1.0, 0.857, 1.0, 0.722
14, Super Mario Bros, 0.224, 0.215, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3, 0.158, 1.0, 0.056, 0.5, 0.429, 0.333, 0.056
15, Fantasy Quest, 0.213, 0.214, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.8, 0.671, 0.0, 0.537, 1.0, 0.714, 1.0, 0.537
16, Dragon Kingdom, 0.139, 0.174, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.9, 0.868, 0.0, 0.574, 1.0, 0.857, 1.0, 0.574
17, Street Fighter, 0.083, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.1, 0.171, 1.0, 0.093, 0.5, 0.429, 0.333, 0.093
